8563,4323
13499,19548
13499,3356
8434,13243
8434,13237
8434,2119
8434,2603
8434,30798
8434,16150
8434,174
8434,13177
8434,25387
8434,3356
8434,3303
8434,29422
8434,13189
24247,4637
24247,13792
24247,7473
24247,15412
24247,4657
5006,36784
5006,19001
5006,30220
5006,33362
5006,20283
5006,26021
5006,23359
5006,25637
5006,3549
5006,15011
5006,701
5006,23465
5006,21730
5006,7018
29648,28970
29648,8342
29648,35400
25785,701
38389,3786
31922,17054
19067,209
19067,3356
12317,5568
18832,701
38255,4750
17050,174
40211,4323
4628,7543
4628,4765
4628,703
4628,714
4628,15412
4628,4637
4628,209
4628,7473
4628,3320
40145,13703
36472,8121
36472,8468
36472,3257
36472,7018
6459,2914
6459,11846
6459,1239
6459,36136
6459,3356
26787,701
26787,3549
17579,1237
17579,20388
17579,11537
17579,2153
17579,293
26694,6517
26694,174
26694,7018
21640,11853
21640,12179
21640,3356
21640,10912
13938,7018
20006,3356
17773,4837
17773,17633
17773,9800
15108,30167
15042,6517
15042,6395
15042,10730
7004,12956
7004,7993
7004,13424
1785,18993
1785,36637
1785,30580
1785,15152
1785,88
1785,30397
1785,36378
1785,26197
1785,3303
1785,32731
1785,32401
1785,26881
1785,13237
1785,6316
1785,2516
1785,11709
1785,11494
1785,22783
1785,22281
1785,33480
1785,14334
1785,6939
1785,701
1785,13926
1785,1668
1785,174
1785,22008
1785,32524
1785,29922
1785,29941
1785,19151
1785,16554
1785,30312
1785,36605
1785,32376
1785,3356
19756,7018
8419,6461
8419,19151
8419,25462
8419,6939
8419,3213
40125,701
40125,40475
5521,1299
5521,3549
36053,174
38111,10036
18471,1239
18471,3561
14109,701
17145,1239
17145,3356
16590,6128
19272,209
19272,10911
25739,6983
17156,6395
27480,701
27480,2828
15172,701
17206,209
17206,29933
7862,6395
18860,701
19092,2828
19092,10947
19092,14188
19092,19029
19092,11961
19092,3833
19092,26794
19092,15305
19092,29870
19092,13370
19092,21864
19092,10835
19092,21947
19092,32203
19092,6939
19092,32356
19092,15219
19092,174
19092,8057
19092,20385
19092,7462
19092,40281
19092,15267
19092,6539
19092,14818
19092,32909
19092,32865
19092,32311
19092,19800
19092,22626
19092,30583
19092,33588
19581,209
19581,16967
19757,1239
19757,7018
3957,174
23102,17054
23102,7272
18756,19094
19720,6128
24783,8342
24783,20485
11824,13768
11824,3549
24835,15834
24835,5536
24835,15475
24835,30995
24835,15412
9638,4766
9638,3786
32404,18972
32404,7132
25953,1239
14157,26228
14820,4181
32479,174
32479,3320
32479,3356
30140,14985
30140,174
17633,17773
17633,4134
11051,6461
11051,26257
11051,3356
11051,13704
11051,4323
21836,10933
21836,209
11647,174
11647,6453
20226,7018
20226,7132
11879,174
11879,17054
40037,26878
40037,701
11351,33176
11351,27476
11351,19389
11351,19548
11351,39956
11351,3356
11351,11076
11351,33524
4358,701
4358,14047
2754,7018
29973,7018
22600,4323
15021,6461
15021,10911
21223,702
21223,701
21223,3352
25867,701
25867,15290
17586,9848
17586,3786
32523,1299
32523,18534
32523,3491
32523,3561
32523,2914
32523,9929
32523,3320
32523,25973
32523,6453
24323,17494
24323,38069
33505,701
33505,2828
18709,701
18709,4323
18709,7132
14610,6461
14610,13789
14610,3356
4977,33203
4977,11457
11427,11043
11427,30119
11427,27325
11427,12270
11427,40330
11427,33489
11427,40061
11427,1668
11427,33342
11427,3356
11427,10500
32449,701
18391,4637
18391,23979
18391,4657
9600,2914
9600,2527
9600,10026
9600,2516
3302,6762
3302,174
3302,1239
3302,3320
3302,3257
3302,3303
3302,3356
11820,10913
11820,3549
33360,209
33360,29983
8048,12956
8048,6762
8048,23146
32552,209
32552,7132
26070,4323
20217,701
20217,7018
7337,701
7337,1239
7337,14034
32578,701
32578,1239
30621,7018
36858,209
36295,33363
36295,4323
4293,1239
4293,3561
17647,1221
17647,3549
9961,9457
36032,701
36032,1668
14467,4323
5464,12337
35177,15974
35177,8342
32927,7018
21461,41692
21461,25074
21461,5669
21461,3320
21461,3356
21461,13237
26306,2828
26306,7132
19914,1239
19914,11955
32409,701
13760,7018
13760,26949
13760,3549
27193,6130
27193,22837
27193,7018
6327,12956
6327,26790
6327,26788
6327,20161
6327,33234
6327,3303
6327,25462
6327,19029
6327,13826
6327,13911
6327,16941
6327,19234
6327,25983
6327,2497
6327,1273
6327,15102
6327,13237
6327,2516
6327,19171
6327,4637
6327,3602
6327,22717
6327,3557
6327,32209
6327,36030
6327,1239
6327,6939
6327,701
6327,13728
6327,13623
6327,8001
6327,14280
6327,5413
6327,3356
6327,40304
6327,19752
6327,19875
6327,16150
6327,20218
6327,10956
6327,23184
6327,286
6327,26546
6327,14366
6327,22799
6327,40041
6327,11164
6327,33714
6327,7992
6327,19792
6327,1668
6327,21804
6327,8057
6327,3213
6327,26910
6327,19016
6327,6539
6327,36676
6327,32233
6327,6407
6327,30370
6327,33510
6327,16518
6327,852
6327,19662
6327,27181
14363,7018
11869,1239
11869,3356
14479,174
14479,3549
11798,2828
11798,7385
32828,701
13020,5568
16130,8513
16130,3491
32897,16713
32897,16503
30114,2914
4261,7018
14208,3491
36660,6395
36660,7018
36513,18972
36513,174
9617,9824
9617,2914
9617,2497
9617,2516
9617,4716
29922,1785
29922,4323
20459,22351
20459,36877
20459,5713
10390,13790
18917,701
21881,1239
21881,12181
33649,7018
3239,35400
29815,174
26100,209
26100,16810
19627,209
19627,7018
17675,2914
17675,4725
17675,13792
17675,10026
17675,151
17675,2516
22442,2914
22442,33203
22442,3356
22442,26877
14694,701
14694,32952
14870,2828
14870,3561
14870,12182
9683,10036
30087,209
30087,6197
13884,174
29865,1239
36421,2914
32934,2914
32934,6539
32934,286
32934,3356
32934,6939
32934,2152
32934,3549
4474,13237
4474,4436
7098,7911
7098,7018
29849,5693
26733,26866
26733,19024
31892,701
31892,1239
33175,209
13489,1239
12028,701
12028,2828
32069,6539
30375,701
30375,1239
18018,9299
13581,209
13581,7018
29886,19406
29886,14742
15480,34419
18762,6395
18762,15270
18762,19262
32015,174
32015,4323
41707,174
41707,10429
41707,4230
41707,8220
41707,6805
41707,3356
25386,31445
32012,1239
32012,7018
32356,19092
32356,1239
32356,21947
13954,701
13954,13790
10430,101
10430,15199
26234,19151
26234,19024
7514,9824
7514,2914
7514,2497
7514,9225
7514,2516
18447,701
18447,3356
18447,7132
22234,1239
30576,14989
30576,32690
27471,2828
27471,1239
22355,2905
40442,174
40442,3356
558,1239
558,3257
558,3491
558,3561
558,3549
558,31815
558,3356
558,6453
29697,209
29697,6395
30201,209
22186,1239
36279,3593
25719,3549
25854,6128
5503,2914
5503,1239
5503,25462
5503,3213
5536,24835
5536,20858
5536,15475
5536,8452
22880,7018
22880,7132
18296,3786
19019,14710
19019,3549
19019,8119
19019,30304
19019,174
19019,3356
19019,32314
19019,11955
36394,26554
36394,3356
27174,701
27174,1239
15026,701
15026,7132
32781,209
32781,19262
33120,14361
33120,1239
33120,10913
33120,3491
33120,6939
33120,4436
11691,209
11691,174
11691,3561
12270,11427
12270,1222
12270,32579
31888,701
31888,6536
24711,3215
23362,4323
26644,701
26644,3561
3218,5386
3218,3058
32175,209
12262,30628
12262,10796
16527,1239
16527,7018
40010,209
40010,7018
16429,209
16429,7018
16429,3549
29213,31536
29213,12883
17166,2828
17166,23381
17166,7018
23318,3356
32517,30176
22958,18799
22958,27339
22958,3549
16543,20161
22527,701
22527,209
22214,1239
10820,209
10820,701
4046,40460
8128,1239
8128,3561
11990,209
11990,4927
11990,1239
11990,7018
33476,13789
11633,209
11633,3549
36802,4323
32442,19029
26449,174
26449,3561
8941,5568
14215,7018
14215,7132
1975,7018
1975,7132
40000,7018
40000,7132
27533,174
27533,7018
33642,4323
18971,701
18971,3549
40272,209
20146,209
11404,13438
11404,23033
11404,6539
11404,3491
